study_hours,assignments_pending,exam_pressure,academic_performance,sleep_hours,exercise_days_per_week,social_interactions_per_week,screen_time_hours,anxiety_level,financial_stress,family_support,peer_pressure,extracurricular_activities,relationship_issues,stress_score,stress_level
6.8,3,10,5,8.7,3,13,11.8,7,2,7,9,1,2,95.3,3
9.4,13,5,4,9.3,5,8,5.6,7,1,3,6,0,1,81.2,3
9.6,3,5,8,8.5,4,6,1.8,5,9,2,10,0,2,100.0,3
2.5,11,6,2,4.4,2,15,9.1,10,5,4,5,0,1,100.0,3
6.5,0,10,10,3.6,3,2,3.5,8,10,7,1,2,0,92.1,3
9.5,6,10,9,7.2,7,18,8.4,2,10,7,10,2,0,92.0,3
8.0,8,6,7,3.4,6,3,10.6,2,4,9,5,1,1,69.0,2
12.3,2,8,7,7.7,2,6,11.2,5,8,3,5,0,1,100.0,3
9.9,11,8,1,6.7,3,11,4.9,1,5,7,6,1,0,92.8,3
4.0,12,9,2,7.6,6,17,7.7,6,7,6,7,0,1,100.0,3
2.8,14,8,4,7.1,6,4,9.1,4,3,10,4,0,1,93.5,3
9.7,1,2,4,6.0,5,9,11.7,6,8,7,7,1,2,81.4,3
2.3,2,10,3,4.4,2,11,10.9,7,8,7,5,0,0,100.0,3
9.0,0,1,7,5.1,4,7,13.8,3,3,10,6,1,0,31.1,1
13.3,5,10,8,6.7,4,18,1.1,8,9,5,4,2,1,100.0,3
8.9,10,2,2,7.6,0,14,6.7,7,8,9,8,1,1,85.8,3
6.7,10,2,4,8.5,3,0,4.3,1,1,7,9,1,1,42.7,1
9.7,6,3,3,8.4,0,2,2.6,6,8,7,2,0,0,84.0,3
7.5,10,10,2,9.8,1,17,12.8,7,4,3,4,1,2,100.0,3
8.5,10,7,6,5.0,4,17,14.0,4,6,1,8,2,0,100.0,3
13.3,1,2,4,3.5,3,1,3.3,2,10,5,8,2,2,100.0,3
6.6,7,1,6,5.4,5,4,1.5,10,9,8,9,2,1,86.7,3
13.5,13,6,2,8.2,0,0,4.6,9,5,5,3,2,0,100.0,3
12.9,5,9,4,6.1,5,9,11.9,7,7,10,1,1,2,100.0,3
4.3,13,3,6,8.7,5,19,4.8,1,1,3,9,2,0,47.3,1
2.8,3,6,5,6.8,7,9,1.7,8,9,9,1,1,2,66.4,2
3.2,4,3,3,9.5,7,4,1.7,3,6,2,3,1,2,60.8,2
2.2,7,1,8,9.6,5,17,6.6,4,4,3,3,0,0,33.2,1
3.1,13,5,7,3.5,0,14,13.1,5,6,4,9,1,1,100.0,3
10.2,2,10,3,6.2,7,19,4.7,1,5,10,1,1,0,51.7,1
2.9,2,4,6,7.3,1,7,6.6,6,3,1,7,0,1,71.5,2
5.8,13,7,4,4.8,6,16,2.3,10,7,4,2,2,2,100.0,3
12.1,14,6,5,5.8,6,11,7.4,6,3,4,7,2,2,100.0,3
2.3,13,10,5,7.7,7,11,10.1,2,2,9,1,1,0,74.9,2
11.8,10,7,7,4.6,0,0,4.5,10,4,8,10,0,0,100.0,3
5.4,3,5,5,7.2,6,3,4.9,6,7,2,10,1,1,97.5,3
3.4,0,4,3,7.9,2,7,11.9,8,5,7,8,1,1,81.2,3
10.4,8,7,10,3.6,6,0,1.1,6,9,6,10,2,0,100.0,3
9.5,7,7,5,6.5,4,14,9.3,4,10,7,10,0,1,100.0,3
12.5,7,6,7,4.8,0,17,6.1,4,7,4,2,1,1,92.6,3
10.8,13,8,5,8.1,7,0,4.9,9,9,5,3,2,0,100.0,3
11.6,9,4,5,4.3,7,10,9.5,6,9,6,8,1,0,100.0,3
5.4,5,10,9,9.2,6,1,11.9,8,2,9,3,2,2,94.4,3
4.1,6,5,3,6.0,0,0,8.3,8,1,2,1,0,2,100.0,3
11.0,5,4,6,4.4,1,11,1.4,7,4,9,9,1,0,80.7,3
11.7,8,1,1,6.1,2,15,7.0,3,4,10,8,0,2,67.5,2
13.9,2,8,10,5.9,7,9,7.0,10,2,1,4,2,1,100.0,3
7.0,13,1,5,6.0,0,17,8.1,1,3,4,8,0,0,68.4,2
6.5,2,5,8,7.1,7,14,9.7,5,3,5,5,0,2,64.9,2
11.3,2,6,5,6.6,7,16,1.3,10,5,9,3,0,0,83.4,3
6.1,9,6,9,4.0,4,9,7.5,10,1,6,1,1,2,86.8,3
13.2,2,5,6,3.5,6,2,8.6,2,9,4,10,2,0,100.0,3
12.3,8,3,8,8.1,4,15,5.5,10,8,2,5,0,1,100.0,3
7.1,11,5,10,6.9,6,5,9.7,2,8,5,6,1,2,74.7,2
11.0,3,8,8,5.5,7,2,4.0,7,3,8,4,2,0,70.8,2
11.1,12,2,3,8.7,0,8,5.1,3,2,8,7,2,1,57.6,2
3.2,6,6,7,5.7,5,10,13.5,8,1,6,3,2,2,88.0,3
12.8,13,9,7,8.6,6,12,5.5,9,6,1,7,0,2,100.0,3
8.1,14,8,10,5.1,5,17,5.5,8,10,8,1,0,0,100.0,3
11.9,8,8,6,3.5,2,3,8.7,6,1,4,7,0,1,100.0,3
5.8,10,8,7,9.5,4,7,13.6,5,5,2,1,2,0,100.0,3
12.7,11,7,2,5.8,5,12,13.8,3,9,1,1,2,2,100.0,3
6.7,6,8,9,8.5,4,9,8.5,3,9,7,2,0,0,75.6,3
2.1,8,6,10,5.0,6,1,1.0,7,4,2,2,0,0,83.5,3
12.9,11,2,10,7.5,6,7,12.7,5,7,4,4,2,1,87.3,3
3.1,2,2,1,9.1,2,5,8.4,6,7,4,1,2,1,57.6,2
5.8,14,8,1,3.3,6,15,5.8,6,4,10,4,1,2,100.0,3
13.4,3,1,3,8.8,7,17,11.8,9,5,1,2,1,1,81.1,3
13.4,13,6,3,7.0,2,16,6.2,1,9,2,4,0,0,100.0,3
8.9,7,6,1,7.3,5,5,1.4,8,7,1,4,2,2,100.0,3
9.6,5,4,7,6.7,6,12,11.7,10,7,6,9,2,1,100.0,3
7.4,4,10,4,9.1,0,13,8.1,5,10,3,9,1,0,100.0,3
5.5,12,3,10,3.3,3,9,5.4,6,7,1,1,2,0,82.3,3
5.9,3,3,2,4.8,1,10,4.3,6,9,8,5,0,2,89.4,3
10.1,7,1,10,9.1,7,12,8.7,1,5,4,7,1,2,51.3,1
11.0,0,3,5,8.3,3,11,3.7,3,6,10,4,2,1,21.3,0
11.5,13,4,6,3.1,3,8,5.2,6,3,7,5,2,1,96.1,3
11.5,8,5,9,6.6,4,3,9.3,9,1,10,2,0,1,73.3,2
3.1,0,3,4,6.7,7,6,12.5,6,2,2,3,2,1,50.8,1
7.9,7,6,2,5.8,7,1,7.9,6,8,6,7,1,2,100.0,3
2.7,3,5,5,5.1,2,6,10.9,1,1,6,10,1,0,53.6,1
8.6,8,3,3,7.8,4,8,10.9,9,10,7,7,2,0,100.0,3
7.3,13,6,2,4.5,5,4,9.6,4,7,1,4,2,1,100.0,3
12.7,10,6,1,8.6,1,14,4.2,2,5,1,1,2,2,96.4,3
6.2,4,8,10,8.6,5,17,12.3,1,6,2,1,2,1,55.7,2
3.4,2,2,2,5.9,0,3,6.7,3,8,2,4,1,1,76.2,3
3.7,8,1,6,5.0,1,18,1.6,3,4,5,4,0,2,59.7,2
11.1,10,4,8,5.0,4,19,4.2,5,6,1,6,1,0,95.7,3
9.4,13,7,3,6.4,6,6,11.0,1,3,2,7,2,0,98.0,3
3.2,13,10,9,8.0,6,7,1.9,7,7,6,9,2,1,100.0,3
3.0,8,3,9,5.5,4,16,2.9,1,2,3,9,1,2,42.5,1
10.4,3,3,2,7.3,5,12,10.0,4,8,4,10,1,0,85.1,3
2.9,10,5,8,5.7,4,10,12.6,6,7,1,5,2,0,100.0,3
11.9,3,5,10,5.1,4,0,9.2,1,8,5,10,1,2,100.0,3
10.5,11,10,5,3.2,3,1,3.9,7,2,4,3,2,2,100.0,3
3.0,7,3,4,3.0,0,16,1.7,10,3,8,3,1,0,85.6,3
3.0,1,9,10,4.6,7,4,9.0,7,4,3,6,2,1,96.8,3
13.8,8,4,5,5.8,6,5,1.6,3,9,10,1,1,1,65.9,2
6.5,12,3,4,9.0,3,6,9.0,4,5,1,7,2,0,95.2,3
6.4,13,2,8,8.6,4,14,3.9,6,6,10,3,0,1,56.6,2
11.8,5,10,4,4.9,2,18,12.8,7,1,5,5,0,1,100.0,3
13.4,8,9,10,4.7,3,15,7.2,4,4,1,7,1,2,100.0,3
13.8,7,4,6,4.6,4,12,3.9,10,4,5,7,0,2,100.0,3
11.0,14,3,2,5.4,6,4,12.1,9,10,9,9,2,2,100.0,3
6.5,14,7,5,6.5,7,2,4.3,9,8,5,1,1,1,100.0,3
3.0,6,8,6,6.1,4,2,5.0,9,8,2,3,1,2,100.0,3
11.3,12,2,5,4.5,0,18,11.8,10,10,2,9,2,2,100.0,3
8.7,13,7,2,3.9,5,13,5.0,6,6,10,8,2,0,100.0,3
7.1,0,5,7,3.1,1,15,6.3,2,8,9,2,2,2,49.7,1
12.9,13,5,4,4.1,3,16,5.5,2,9,5,8,1,0,100.0,3
3.3,11,3,8,7.9,3,3,2.5,4,5,8,8,2,1,64.0,2
7.9,2,5,7,4.7,3,12,1.5,9,1,10,2,0,2,59.3,2
2.1,10,2,7,6.3,4,7,10.4,3,1,4,8,1,0,52.9,1
7.6,13,4,9,7.1,7,18,9.4,6,2,2,3,2,0,77.6,3
2.7,1,6,1,9.2,0,4,4.7,2,2,4,7,1,0,57.9,2
3.4,4,1,10,9.2,7,1,4.8,1,5,4,9,0,1,29.7,0
3.4,14,10,6,8.2,4,14,13.3,5,7,9,4,0,2,100.0,3
9.8,4,4,6,3.2,4,1,13.8,8,7,10,6,2,1,100.0,3
11.0,4,6,6,7.0,5,10,7.2,10,4,6,9,1,0,91.8,3
9.0,3,9,6,8.5,2,12,11.4,10,4,10,5,2,1,94.1,3
13.5,4,2,10,3.1,0,9,10.6,2,10,6,1,1,1,70.2,2
6.5,2,7,7,6.8,3,2,4.9,10,3,5,3,2,0,83.6,3
5.4,11,6,10,9.0,1,4,1.8,9,2,6,9,2,2,96.5,3
12.4,0,2,6,6.3,3,2,2.9,8,3,1,3,1,2,78.6,3
4.7,4,8,1,3.0,7,5,11.9,3,8,5,10,1,1,100.0,3
13.6,12,7,3,3.1,4,12,10.5,1,1,6,2,0,2,100.0,3
2.1,8,5,2,5.9,0,9,9.6,4,4,8,4,0,0,78.6,3
13.6,12,5,6,4.1,6,18,2.7,8,7,4,5,1,2,100.0,3
2.5,8,7,8,7.7,0,7,9.3,3,5,5,7,0,1,99.3,3
12.7,3,9,3,8.0,0,17,11.0,10,2,4,7,0,0,100.0,3
8.3,2,9,10,4.2,2,2,12.2,2,1,7,9,1,0,78.7,3
13.9,0,9,8,9.2,3,16,1.2,7,6,10,8,1,0,93.4,3
2.9,1,6,8,6.1,2,7,9.9,4,5,6,2,1,1,53.2,1
8.6,7,10,5,4.0,6,9,1.2,6,3,4,8,2,1,100.0,3
13.6,0,6,8,8.3,6,1,10.2,5,9,6,8,1,2,100.0,3
8.3,7,3,6,8.5,5,11,9.3,2,3,4,5,1,1,47.4,1
9.6,12,1,5,7.5,7,5,2.9,10,2,8,3,1,0,72.4,2
10.3,6,7,9,9.0,1,1,11.0,2,5,3,9,0,1,100.0,3
7.5,14,4,7,8.2,5,2,1.9,9,9,8,7,1,1,100.0,3
9.5,7,1,8,9.2,4,16,11.7,10,8,2,1,0,2,97.6,3
9.0,11,8,1,6.0,2,6,4.4,2,6,6,8,2,0,100.0,3
12.8,5,6,2,8.2,2,4,10.0,8,3,8,10,1,2,100.0,3
2.5,11,6,8,10.0,5,0,13.0,8,6,1,5,1,2,100.0,3
5.4,13,2,9,8.1,4,7,5.4,1,5,6,6,0,2,58.1,2
13.4,14,1,4,3.8,0,11,7.5,1,1,9,9,2,0,82.2,3
12.7,14,2,10,6.6,4,13,7.0,4,5,10,10,1,2,78.2,3
7.5,8,4,10,7.1,3,15,3.0,2,7,10,8,2,0,33.5,1
9.4,2,2,9,4.2,5,9,8.7,1,9,2,3,2,2,53.1,1
5.3,9,1,4,9.7,7,14,10.7,9,1,1,5,1,2,83.8,3
4.3,3,7,10,4.2,4,14,12.9,3,3,2,4,2,0,70.9,2
7.6,12,8,10,4.2,0,9,12.1,1,8,5,1,2,1,100.0,3
6.2,5,6,10,9.4,4,6,7.6,2,6,6,5,1,2,57.7,2
9.0,7,4,9,6.3,2,2,10.3,8,5,1,10,0,1,100.0,3
2.9,4,6,7,3.4,1,1,11.4,5,10,7,7,1,2,100.0,3
13.7,2,3,2,7.2,2,5,7.4,7,2,4,1,2,1,71.2,2
13.8,5,8,9,7.2,7,8,2.5,6,3,9,4,1,1,59.0,2
10.4,3,10,4,3.5,6,9,6.7,1,2,6,6,0,1,94.3,3
8.4,8,2,8,9.8,1,3,12.0,6,1,9,9,2,1,65.0,2
5.7,12,5,7,6.8,6,2,8.8,7,7,1,8,2,1,100.0,3
11.8,2,1,7,6.9,4,8,10.4,4,3,4,2,0,0,37.5,1
10.2,3,6,8,6.6,3,16,3.4,8,7,2,3,0,1,96.7,3
4.0,6,2,1,7.3,7,13,13.5,8,7,6,10,2,0,100.0,3
12.9,6,4,5,4.9,4,9,6.3,7,8,4,5,0,2,100.0,3
11.9,11,6,2,5.0,0,12,9.5,2,1,9,7,1,0,82.7,3
13.4,11,10,2,6.6,4,11,1.2,6,5,3,3,0,1,100.0,3
10.7,3,8,1,8.6,1,0,2.7,6,10,1,7,1,0,100.0,3
9.4,5,8,5,3.3,2,18,11.2,7,9,1,5,2,1,100.0,3
7.0,11,6,2,7.2,3,18,13.6,6,7,9,10,2,0,100.0,3
13.2,12,4,4,8.6,6,5,5.2,2,1,9,6,2,2,65.8,2
12.4,2,8,3,4.1,4,12,1.5,8,8,5,6,2,1,100.0,3
2.5,5,8,3,3.1,4,18,5.7,4,3,2,4,2,1,86.2,3
2.3,11,10,2,5.2,2,12,1.2,9,4,9,8,0,0,100.0,3
6.5,1,1,6,7.1,3,3,3.5,8,4,8,9,0,0,48.4,1
11.7,7,4,2,4.0,5,1,10.8,3,10,10,2,2,0,97.4,3
13.8,1,4,8,6.0,6,14,13.2,3,8,10,9,0,0,80.5,3
3.8,10,7,8,6.9,4,11,2.1,8,1,6,4,0,0,71.7,2
9.1,6,7,5,7.2,4,6,8.3,2,8,7,6,2,1,78.8,3
6.6,8,8,10,4.9,5,19,4.3,9,9,6,7,0,2,100.0,3
13.6,0,5,7,5.8,6,17,2.8,4,9,5,4,2,0,66.1,2
12.1,7,7,4,8.4,1,12,3.8,6,5,4,8,2,1,100.0,3
12.1,6,8,1,9.6,1,16,8.5,3,4,7,10,2,2,100.0,3
7.6,5,9,2,9.0,7,3,1.8,3,4,4,8,2,2,99.5,3
7.0,5,3,10,6.9,7,13,6.6,3,9,10,1,0,0,22.0,0
5.3,5,3,10,5.9,0,19,2.8,10,8,10,8,0,1,77.1,3
2.7,8,4,4,5.3,2,12,4.5,2,10,10,10,1,1,64.4,2
12.4,1,5,1,3.9,3,2,3.5,8,10,9,3,1,1,100.0,3
11.8,0,10,8,3.7,4,17,12.5,9,7,5,5,2,1,100.0,3
14.0,12,1,9,7.8,6,13,10.2,8,3,8,10,1,1,82.3,3
14.0,11,7,4,4.8,4,14,12.3,10,4,6,8,0,2,100.0,3
8.7,5,9,10,4.8,7,2,6.0,3,9,4,6,0,2,100.0,3
11.2,9,8,3,10.0,0,0,5.1,7,8,3,4,1,2,100.0,3
13.3,10,5,2,4.3,6,16,5.9,10,1,6,4,1,1,100.0,3
12.2,7,4,5,4.0,6,2,1.2,2,3,1,4,0,2,98.7,3
5.0,2,7,3,3.7,4,13,10.4,4,10,2,6,1,2,100.0,3
7.4,11,5,10,7.1,2,2,5.5,6,2,7,7,0,0,81.3,3
3.5,9,7,7,7.4,0,12,5.1,5,2,4,5,0,2,98.2,3
13.4,0,1,6,5.6,2,14,8.8,9,8,5,10,1,0,100.0,3
9.3,8,1,1,6.7,0,17,6.7,10,6,10,8,1,1,89.9,3
4.7,12,10,8,8.5,4,13,13.8,4,6,1,7,2,1,100.0,3
10.1,12,3,2,8.7,0,2,5.6,5,4,2,8,2,1,100.0,3
9.4,0,2,5,9.7,1,18,9.0,4,1,4,4,2,1,40.7,1
6.3,2,2,9,8.8,6,7,5.1,8,7,8,8,2,2,60.0,2
3.4,7,7,8,7.0,3,3,13.9,8,8,10,6,2,0,100.0,3
10.1,13,10,2,4.3,4,3,6.8,3,2,4,3,0,1,100.0,3
8.2,2,2,9,3.7,5,18,9.2,1,2,3,8,1,1,34.7,1
11.3,12,4,5,3.4,3,10,2.6,6,1,3,7,0,0,100.0,3
8.2,3,2,10,7.7,4,0,10.5,2,4,5,10,2,0,45.6,1
12.2,7,6,6,8.7,3,7,4.5,2,6,3,5,2,0,75.0,3
8.6,0,8,3,6.6,1,14,6.8,3,5,8,4,1,0,62.1,2
8.7,12,10,3,3.4,3,0,12.5,8,4,5,1,0,0,100.0,3
12.5,12,4,10,6.7,0,6,13.6,3,4,7,10,2,2,100.0,3
6.8,5,5,8,9.6,7,19,6.5,7,10,8,3,2,0,65.0,2
3.6,0,4,10,7.2,3,19,11.9,10,7,5,2,2,2,70.2,2
2.3,13,3,10,8.7,4,10,1.7,10,7,8,8,2,0,90.1,3
11.1,0,5,2,8.6,5,13,12.0,9,2,3,8,0,0,100.0,3
9.4,13,9,2,9.5,5,15,9.2,8,7,7,5,0,1,100.0,3
10.4,7,8,5,8.4,7,13,7.4,1,2,8,5,2,1,62.1,2
4.6,10,8,6,8.2,2,11,12.6,7,4,7,4,0,1,100.0,3
3.6,3,8,2,4.6,7,16,12.0,7,1,2,1,2,1,91.5,3
2.2,11,8,5,3.4,6,13,4.9,8,5,8,1,1,1,100.0,3
6.2,0,7,7,6.6,3,9,11.3,10,1,6,6,1,1,74.7,2
9.1,9,8,10,3.9,5,13,2.3,5,4,10,4,1,0,61.4,2
6.7,6,8,10,9.7,7,17,11.7,10,9,3,4,0,0,100.0,3
7.2,4,8,8,5.0,3,8,9.8,9,8,4,3,2,1,100.0,3
12.8,4,10,7,9.0,6,16,2.1,9,6,7,9,1,1,100.0,3
6.2,0,7,8,5.7,5,5,9.9,8,8,3,3,1,1,86.6,3
8.2,13,1,9,5.3,6,7,8.5,6,5,1,8,0,0,95.2,3
11.4,9,4,5,9.5,3,12,8.7,6,7,6,2,0,1,83.9,3
6.8,10,4,5,5.5,4,17,4.8,1,8,3,4,1,1,65.5,2
9.5,5,5,10,5.7,3,4,4.5,6,7,10,1,2,0,49.8,1
12.3,13,10,4,3.7,7,5,10.9,4,4,6,5,2,0,100.0,3
13.4,8,6,9,7.7,6,18,4.3,4,5,10,2,2,2,65.4,2
3.8,8,4,5,5.0,4,3,6.8,2,10,3,1,1,1,81.0,3
13.1,7,2,2,7.1,4,6,10.0,4,6,6,1,0,0,80.9,3
7.9,4,6,10,7.1,2,3,2.0,5,6,4,2,2,2,63.4,2
5.1,0,8,8,8.0,5,10,8.7,5,9,4,5,1,0,74.9,2
7.5,8,8,7,8.2,0,11,8.7,5,10,10,9,1,2,100.0,3
13.8,0,7,8,6.6,4,13,9.9,4,2,10,6,0,2,73.3,2
7.9,7,6,3,5.3,6,12,5.8,1,6,2,4,2,1,73.3,2
5.9,4,2,4,8.9,5,9,6.8,10,3,4,3,1,1,52.6,1
9.6,2,7,5,5.2,1,17,5.3,8,2,4,8,2,2,100.0,3
4.9,10,5,6,6.6,3,15,11.5,3,6,7,3,2,1,60.4,2
2.9,6,6,1,5.8,7,4,2.7,2,4,5,1,2,0,46.6,1
3.5,6,10,4,9.0,6,7,13.5,9,5,8,4,1,0,100.0,3
3.5,8,8,10,6.0,1,13,9.3,7,5,7,5,2,2,100.0,3
3.8,6,8,5,5.7,6,4,12.5,9,3,10,5,0,2,100.0,3
3.7,12,3,7,7.8,3,7,6.5,2,4,9,5,1,0,38.0,1
9.7,10,7,5,7.2,2,5,5.3,9,3,8,8,1,0,98.4,3
4.2,13,1,1,3.8,6,15,12.7,10,7,9,8,2,2,100.0,3
6.1,2,1,7,6.6,4,3,2.3,9,1,1,4,2,0,50.7,1
12.8,10,7,8,8.1,0,11,2.5,9,6,10,9,2,0,100.0,3
7.7,12,10,7,9.9,4,10,4.9,10,4,3,1,1,2,100.0,3
10.0,14,9,4,7.4,3,2,13.5,10,1,5,5,0,1,100.0,3
4.1,13,7,8,5.6,6,11,9.2,4,1,9,5,0,0,68.1,2
4.3,12,10,5,4.6,0,4,8.2,10,5,8,5,1,1,100.0,3
2.5,0,5,10,9.1,4,5,10.2,3,5,10,8,0,1,39.8,1
4.0,7,8,9,8.7,0,18,6.4,6,10,7,9,2,0,100.0,3
5.3,11,2,10,4.6,7,17,10.9,3,7,2,3,1,1,64.5,2
4.1,2,9,5,4.4,3,15,6.1,9,4,6,9,0,2,100.0,3
3.1,11,6,1,8.0,2,10,11.7,3,9,4,8,1,0,100.0,3
3.4,7,9,9,5.2,2,4,4.5,2,4,5,3,0,0,82.7,3
7.5,7,2,5,5.1,6,8,4.6,8,7,5,2,1,1,59.8,2
4.5,12,3,6,4.1,4,2,7.8,6,5,4,4,0,0,100.0,3
6.4,4,8,4,4.8,1,7,6.6,8,5,4,2,1,0,91.6,3
8.0,12,1,6,6.0,3,5,9.4,7,6,4,4,1,1,93.5,3
10.3,11,10,8,8.1,4,3,5.7,3,8,2,5,1,1,100.0,3
2.5,12,7,3,5.4,4,11,4.0,8,5,1,2,1,0,100.0,3
11.6,0,7,5,5.3,2,11,7.1,10,3,2,8,1,0,100.0,3
9.5,12,1,2,5.0,6,15,8.3,1,6,7,1,2,2,61.2,2
3.0,9,9,2,6.3,0,9,2.9,1,2,1,3,1,2,86.1,3
12.5,6,8,7,4.3,3,13,8.2,10,8,6,7,1,0,100.0,3
13.1,11,4,10,6.4,7,12,5.2,8,8,4,10,1,0,100.0,3
2.7,9,10,10,7.9,0,8,6.1,9,3,2,1,0,2,100.0,3
5.3,4,5,10,3.2,5,6,4.6,10,8,3,2,1,1,90.8,3
11.7,7,2,6,3.1,5,11,13.1,6,9,7,3,2,0,92.1,3
11.0,8,9,4,3.5,3,4,9.9,5,5,6,2,1,2,100.0,3
4.2,10,6,5,6.7,6,17,4.4,2,5,6,2,0,2,61.1,2
4.5,13,3,1,9.0,1,3,9.4,9,6,8,6,0,0,100.0,3
6.4,6,7,7,3.0,5,1,12.0,6,7,8,7,1,0,100.0,3
7.8,13,9,8,9.6,2,2,6.2,8,3,6,6,1,2,100.0,3
9.4,12,3,9,3.7,1,11,11.8,9,5,1,6,1,0,100.0,3
6.4,14,2,8,8.9,4,2,3.0,9,1,10,9,1,1,71.7,2
7.6,6,7,5,6.4,5,3,11.7,8,10,7,8,0,0,100.0,3
11.0,0,7,3,7.6,2,5,8.0,10,5,8,8,1,2,100.0,3
2.4,14,4,10,6.6,4,11,3.9,8,4,5,6,0,2,85.0,3
5.0,3,9,9,6.3,1,18,6.3,3,1,4,5,0,0,63.6,2
10.6,1,8,6,8.8,3,9,13.8,3,7,7,9,2,2,91.2,3
12.7,1,1,5,8.3,4,0,11.2,2,1,6,2,0,1,34.5,1
8.1,1,1,3,6.4,0,16,8.5,1,8,6,7,1,0,43.2,1
8.4,3,5,6,3.8,3,15,2.5,4,10,3,6,1,0,80.2,3
3.3,13,6,3,3.8,3,8,6.4,2,2,10,7,1,2,80.7,3
7.4,0,3,10,8.6,1,8,4.4,2,10,4,4,1,1,29.0,0
8.4,14,9,6,6.7,1,8,1.9,5,5,5,9,2,0,100.0,3
4.9,3,10,4,6.4,2,11,8.0,4,6,9,7,2,2,95.2,3
5.2,1,6,2,7.8,2,8,12.6,1,9,8,2,2,0,60.7,2
6.5,4,4,8,9.0,0,14,9.8,9,7,3,4,2,1,88.8,3
2.2,2,7,4,7.4,3,1,4.2,4,6,6,5,0,2,84.7,3
5.9,14,8,9,8.3,7,10,8.5,5,5,10,2,2,0,62.6,2
4.5,11,9,7,8.4,6,10,13.3,7,6,1,10,0,2,100.0,3
5.9,7,6,2,5.5,0,7,10.4,2,4,3,8,1,2,100.0,3
3.4,3,6,4,4.9,0,5,10.0,8,1,10,1,0,1,81.0,3
12.7,0,8,5,8.6,6,19,13.6,2,9,7,3,0,1,92.0,3
9.1,0,5,3,5.6,6,6,11.4,10,5,7,1,2,0,71.6,2
10.1,11,3,9,9.3,6,2,2.8,5,8,2,5,1,2,92.8,3
11.5,9,3,5,3.5,1,7,5.5,2,7,3,8,1,2,100.0,3
8.0,2,6,2,3.4,0,17,13.5,2,8,7,7,2,2,100.0,3
3.0,14,2,3,9.5,0,16,7.4,4,1,6,9,0,0,78.7,3
8.4,8,6,9,7.5,4,10,2.5,4,9,7,2,2,1,55.4,2
9.0,6,6,7,5.7,6,1,7.0,8,1,10,8,0,1,81.4,3
10.9,1,8,2,8.3,6,18,10.1,6,3,9,8,2,2,97.2,3
7.2,14,7,9,7.7,2,6,14.0,10,8,8,6,2,0,100.0,3
3.5,12,8,4,6.7,2,17,5.2,8,1,6,3,1,2,100.0,3
5.4,8,9,9,3.7,3,7,7.7,7,1,4,2,1,1,84.1,3
6.4,9,6,2,8.7,2,13,12.4,10,6,10,8,1,2,100.0,3
9.8,1,3,10,9.1,5,6,5.6,4,5,9,6,2,2,32.6,1
8.8,2,10,4,4.2,3,3,2.4,2,6,7,4,1,2,93.9,3
6.3,10,3,5,9.0,7,16,13.3,9,3,5,5,1,1,79.0,3
13.8,12,1,2,9.1,6,4,7.3,2,10,2,5,2,0,94.7,3
9.3,9,5,10,6.8,4,11,7.5,1,10,9,9,1,2,82.6,3
4.8,13,4,1,7.6,2,8,9.1,8,6,7,9,0,1,100.0,3
3.2,1,9,7,5.7,4,19,1.0,10,2,9,8,1,2,77.5,3
3.8,2,9,10,5.0,2,12,13.1,9,8,9,8,0,0,100.0,3
5.0,5,5,1,8.1,2,17,5.7,1,6,10,2,1,2,40.9,1
3.9,8,10,8,9.0,4,19,6.2,7,4,5,3,2,0,91.6,3
4.2,8,4,3,7.6,0,8,3.3,2,4,7,8,2,1,60.2,2
5.4,6,7,10,6.6,0,3,5.9,6,7,5,5,1,0,85.7,3
4.1,11,6,6,4.1,0,7,11.5,5,3,3,7,0,0,100.0,3
12.8,2,4,7,3.4,5,0,11.4,1,3,10,8,1,1,69.7,2
3.0,3,10,10,6.1,0,16,13.2,2,6,8,6,2,0,83.7,3
8.3,5,2,1,3.3,2,8,6.2,2,9,8,5,1,0,59.5,2
6.9,10,1,6,7.0,6,19,10.2,10,1,9,8,2,1,60.9,2
13.8,4,4,7,5.7,1,12,7.6,10,5,6,1,0,0,100.0,3
3.3,1,4,6,8.3,4,1,11.5,6,1,2,1,0,0,58.6,2
6.8,12,1,4,5.1,6,12,10.3,1,1,3,1,2,2,54.4,1
13.6,5,6,1,7.2,1,8,5.8,4,3,10,3,0,0,76.9,3
12.4,2,4,9,6.8,6,19,5.4,10,3,6,10,2,0,85.0,3
11.8,13,1,4,3.0,5,5,4.3,5,4,1,6,2,0,100.0,3
5.1,7,1,7,3.5,1,0,8.5,2,3,2,6,2,1,69.8,2
4.1,1,1,7,5.0,7,4,13.5,2,6,8,5,1,0,36.2,1
10.0,0,8,2,9.2,3,2,3.6,7,4,8,7,0,1,85.4,3
13.2,8,10,1,4.0,0,3,2.2,7,8,6,5,1,1,100.0,3
8.7,13,8,8,8.0,7,0,2.6,6,1,3,2,1,0,85.3,3
8.9,11,2,8,9.8,5,13,11.2,1,8,2,4,0,0,65.2,2
5.4,2,7,7,8.5,6,8,5.6,3,1,6,1,1,0,20.8,0
11.2,10,8,8,4.7,2,3,3.9,9,1,1,7,2,0,100.0,3
4.2,0,8,3,9.4,0,17,5.6,10,7,10,4,1,0,90.9,3
5.9,6,10,2,3.7,7,13,9.4,1,1,6,4,2,0,76.5,3
